2024-07-06 14:15:22.377338;379;H=69;T=28;Hs=31.70645;sp=20;sf=7;rx_timestamp=3734705855; rssi=-124; snr=-8.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 14:22:00.508299;413;H=68;T=28;Hs=31.38582;sp=20;sf=7;rx_timestamp=4132984898; rssi=-122; snr=-6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 14:24:43.962065;427;H=68;T=28;Hs=31.31457;sp=20;sf=7;rx_timestamp=1123607; rssi=-114; snr=1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 14:25:08.515576;429;H=69;T=28;Hs=31.31457;sp=20;sf=7;rx_timestamp=24421620; rssi=-121; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 14:25:30.466506;431;H=68;T=28;Hs=31.31457;sp=20;sf=7;rx_timestamp=47716623; rssi=-114; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 14:25:53.957557;433;H=68;T=28;Hs=31.31457;sp=20;sf=7;rx_timestamp=71012615; rssi=-112; snr=1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 14:26:17.490091;435;H=70;T=28;Hs=31.3502;sp=20;sf=7;rx_timestamp=94310582; rssi=-102; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 14:26:40.578458;437;H=71;T=29;Hs=31.63519;sp=20;sf=7;rx_timestamp=117606618; rssi=-106; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 14:27:03.461461;439;H=68;T=29;Hs=31.70645;sp=20;sf=7;rx_timestamp=140904627; rssi=-100; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 14:27:26.963688;441;H=70;T=29;Hs=31.42145;sp=20;sf=7;rx_timestamp=164212623; rssi=-99; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 14:27:49.960771;443;H=67;T=29;Hs=31.56395;sp=20;sf=7;rx_timestamp=187510623; rssi=-98; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 14:28:13.954051;445;H=65;T=29;Hs=31.81332;sp=20;sf=7;rx_timestamp=210807634; rssi=-82; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 14:28:36.457561;447;H=68;T=29;Hs=31.4927;sp=20;sf=7;rx_timestamp=234104587; rssi=-54; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
